demand_state,dc,flow,distance_km,transport_cost
SP,SP,8900.1779,0.0,0.0
RJ,RJ,3998.1835,0.0,0.0
MG,MG,3647.6185,0.0,0.0
SP,RJ,3224.3102,359.3782470762771,92699.75581649283
RS,SC,1759.4508,374.2689632405345,52680.62614309832
PR,SC,1497.0147,229.8537329183885,27527.55336229612
SC,SC,1136.6609,0.0,0.0
BA,SE,1071.8654,290.0994445024015,24875.80456970755
ES,MG,679.20483,384.6796842594124,20902.10396414943
GO,MG,653.99119,663.434005889765,34710.39959986515
DF,MG,537.05666,620.978647769743,26680.05748020277
PE,SE,534.04066,393.05510493868,16792.592612625755
CE,PI,438.95677,485.8401934594289,17061.027364570087
MT,MG,307.93372,1367.8158060386663,33695.728754262804
MS,SC,290.79382,934.2149517295952,21733.11476116517
PA,PI,265.23461,751.7103757077663,15950.36866670423
MA,PI,239.02956,327.6850827623961,6266.113692100731
RN,SE,159.78132,600.676779809287,7678.154301702179
PI,PI,149.14272,0.0,0.0
PB,SE,124.81826,486.1035828924763,4853.968271712372
AL,SE,112.62898,203.85399732905665,1836.78942304755
TO,PI,86.530199,835.3236978373837,5782.458064262775
SE,SE,79.000283,0.0,0.0
RO,PI,66.526868,2368.0596407658472,12603.167290988555
AM,PI,40.08301,1925.236214957974,6173.54099652181
AP,PI,16.202183,1083.8604304418802,1404.8724032382495
AC,SC,16.05613,2746.0676938140346,3527.297590454267
RR,PI,5.8067482,2175.69145689623,1010.6953960870051
