state,total_orders,total_items,total_revenue,avg_freight,avg_delay_days,late_rate,avg_delivery_days,centroid_lat,centroid_lng,state_name
SP,40501,46448,5769703.15,15.115182354460902,-10.511971198073303,0.05767740268687565,8.723844844304642,-23.51395046250292,-46.69405053802869,São Paulo
RJ,12350,14143,2055401.57,20.911436046100544,-11.303515652619671,0.1297461641801598,15.147895597154461,-22.888871412718512,-43.24398668180498,Rio de Janeiro
MG,11354,12916,1818891.67,20.626342520904306,-12.641385167370645,0.05442861567048622,11.982503629219572,-19.925930595654158,-43.976732227595306,Minas Gerais
RS,5345,6134,861472.79,21.61319204434301,-13.432036363313827,0.06879686990544506,15.188565554589319,-29.88619897807146,-51.22766868774895,Rio Grande do Sul
PR,4923,5649,781708.8,20.47181625066383,-12.792033787527126,0.04779607010090282,11.94721725780702,-25.39156863558196,-50.22913672263493,Paraná
SC,3546,4097,595127.78,21.507359043202342,-10.868302162151167,0.09616792775201367,14.997643202682179,-27.143863729700307,-49.00620417524838,Santa Catarina
BA,3256,3683,591137.81,26.487556339940266,-10.288561744526906,0.1368449633450991,19.247617962535575,-12.949608777186148,-38.75992915537925,Bahia
DF,2080,2355,346123.35,21.07216135881104,-11.493049058347095,0.07430997876857749,12.958993124361092,-15.817454799245827,-47.9523136781264,Distrito Federal
ES,1995,2225,317657.93,22.0289797752809,-9.949211584477736,0.12224719101123596,15.649065751144404,-20.29948099526813,-40.31401380044899,Espírito Santo
GO,1957,2277,334212.35,22.562867808519982,-11.595925885261634,0.07861220904699165,15.403337684412564,-16.69242026700393,-49.259448951079584,Goiás
PE,1593,1746,308972.05,32.693333333333335,-12.764433049350897,0.10194730813287514,18.27926698193755,-8.082222597564279,-34.94832623326175,Pernambuco
CE,1279,1426,266436.77,32.73449509116409,-10.41076384019012,0.15287517531556802,20.9874645148304,-3.7983372957287624,-38.579741871141465,Ceará
PA,946,1054,212023.57,35.62901328273245,-13.569359714315834,0.12428842504743833,23.7540533747101,-1.4500624701799327,-48.473887637919226,Pará
MT,886,1037,181224.42,27.996914175506266,-13.896033273509769,0.06750241080038573,17.961681812296867,-15.556810920088854,-56.05582592431282,Mato Grosso
MA,717,800,147803.55,38.492712499999996,-9.225053761574074,0.20375,21.648666666666667,-2.5615055964934945,-44.284652813838065,Maranhão
MS,701,811,134367.55,23.350900123304566,-10.528614593323287,0.10850801479654747,15.534071690756724,-20.48331455343638,-54.6090492618731,Mato Grosso do Sul
PB,517,586,137838.55,43.09168941979522,-12.37158282375806,0.11262798634812286,20.589148298255594,-7.122604138496156,-34.896428283549255,Paraíba
PI,476,523,105178.19,39.11508604206501,-10.852159947949861,0.15487571701720843,19.38470980720204,-5.089456073053631,-42.76657048128411,Piauí
RN,474,521,100714.78,35.71808061420345,-13.266659446754817,0.1036468330134357,19.32527508974906,-5.838238648352185,-35.248122327060045,Rio Grande do Norte
AL,397,427,94172.49,35.87065573770492,-8.057348046231242,0.24121779859484777,24.489141810868244,-9.632971026920206,-35.75477750805007,Alagoas
SE,335,375,70289.13,36.57317333333334,-9.32573388888889,0.16266666666666665,21.467353209876542,-10.930554081164722,-37.07104333389113,Sergipe
TO,274,310,60007.37,37.43503225806452,-11.6503214979092,0.12258064516129032,17.4483853046595,-10.198894885037259,-48.32496910635424,Tocantins
RO,243,273,56966.0,41.33054945054945,-19.341098265160767,0.040293040293040296,19.73936588488672,-9.89841060028339,-63.700201037604295,Rondônia
AM,145,163,27585.47,33.31061349693252,-19.22603747727789,0.04294478527607362,26.390967180754373,-3.092198615875121,-60.01020551636287,Amazonas
AC,80,91,19575.33,40.04791208791209,-20.33284086284086,0.03296703296703297,20.71554995929996,-9.968815683567625,-67.828796737997,Acre
AP,67,81,16141.81,34.160493827160494,-17.768385631001372,0.04938271604938271,28.205959790809327,0.0335411401319673,-51.07000546471101,Amapá
RR,41,46,9039.52,43.08804347826087,-17.618375100644123,0.10869565217391304,28.23101147342995,2.821374037729382,-60.6803409946078,Roraima
