state,n_sellers,total_items_sold,total_revenue,avg_freight,centroid_lat,centroid_lng,state_name
SP,1769,78604,9957056.91,18.415671594320898,-23.478723869553917,-46.71598858744651,São Paulo
MG,236,8603,1184427.54,24.01037196326863,-19.95254268289243,-44.577340148485476,Minas Gerais
PR,335,8487,1424161.25,22.630406504065043,-24.95820451399403,-51.36473900914616,Paraná
RJ,163,4685,911918.67,19.489237993596586,-22.84258446627047,-43.197575382221615,Rio de Janeiro
SC,184,4000,717739.37,26.03693,-27.005188244285076,-49.02509319244567,Santa Catarina
RS,125,2169,429749.09,25.97372521899493,-29.9154979313812,-51.20149509977495,Rio Grande do Sul
DF,30,883,112892.78,20.444473386183468,-15.838541298222948,-47.97383682690134,Distrito Federal
BA,18,624,297146.93,30.803557692307688,-12.89472449617752,-38.33875838605659,Bahia
GO,39,508,77089.48,24.178917322834643,-16.696953922257013,-49.2720849762433,Goiás
PE,9,445,103486.1,27.68977528089888,-8.134782793932896,-34.93613699999999,Pernambuco
MA,1,402,48169.5,30.028656716417913,-2.498944490930389,-44.244046363558766,Maranhão
ES,22,364,58853.49,32.72486263736264,-20.27110455009337,-40.41523240211024,Espírito Santo
MT,4,144,21623.670000000002,32.054513888888884,-15.602658420792585,-56.05241518478517,Mato Grosso
CE,12,90,23724.05,46.73566666666667,-3.767271889037824,-38.59975940119935,Ceará
RN,5,56,11296.71,23.287678571428568,-5.8402480652230375,-35.20793075034625,Rio Grande do Norte
MS,5,50,9750.65,23.979200000000002,-20.432532946437732,-54.67222397573968,Mato Grosso do Sul
PB,6,37,17844.43,39.160270270270274,-6.836752023202399,-35.1258813045852,Paraíba
RO,2,14,5474.9800000000005,50.91285714285714,-10.877756265582942,-61.95980934800322,Rondônia
PI,1,11,2791.55,37.14090909090909,-5.142543589263656,-42.75525344103827,Piauí
SE,2,10,1924.69,31.849,-10.61704767226495,-36.819007535738585,Sergipe
PA,1,8,1393.11,19.388749999999998,-24.55728630994457,-54.05625021025181,Pará
AM,1,3,1258.8,27.266666666666666,-3.134712358503767,-60.02204119747245,Amazonas
